tree_size,kv_len,bsz,verifiertime_ms,verifiertime_std_ms,attn_implementation,model_name
16,1024,4,36.97930950962473,0.2202231218789496,flex_attention,qwen/qwen3-8b
16,2048,4,37.38630221952917,0.07041444716822512,flex_attention,qwen/qwen3-8b
24,512,4,37.77286192023894,0.14273420301692577,flex_attention,qwen/qwen3-8b
24,1024,4,37.86466501886025,0.14444187328460503,flex_attention,qwen/qwen3-8b
24,2048,4,40.289503831008915,0.020676910003283783,flex_attention,qwen/qwen3-8b
32,512,4,37.791836499236524,0.2302169225737316,flex_attention,qwen/qwen3-8b
32,1024,4,37.79163302941015,0.13087480137324206,flex_attention,qwen/qwen3-8b
32,2048,4,40.87485421769088,0.09408013912267509,flex_attention,qwen/qwen3-8b
64,512,4,38.57238043972757,0.19687207708674082,flex_attention,qwen/qwen3-8b
64,1024,4,42.0786911007599,0.19681214031146413,flex_attention,qwen/qwen3-8b
64,2048,4,48.70464268809883,0.17071295869355813,flex_attention,qwen/qwen3-8b
128,512,4,60.197467301331926,0.281338777608922,flex_attention,qwen/qwen3-8b
128,1024,4,63.20988407038385,0.3110555171302654,flex_attention,qwen/qwen3-8b
128,2048,4,69.37603122991277,0.4342089550000931,flex_attention,qwen/qwen3-8b
16,512,8,37.711677590268664,0.1839457615700789,flex_attention,qwen/qwen3-8b
16,1024,8,38.88592689851066,0.049605866143121714,flex_attention,qwen/qwen3-8b
16,2048,8,50.72640751983272,0.0373122521210122,flex_attention,qwen/qwen3-8b
24,512,8,39.34901404863922,0.1382257742352076,flex_attention,qwen/qwen3-8b
24,1024,8,45.18094191967975,0.19184079476203433,flex_attention,qwen/qwen3-8b
24,2048,8,57.03923749009846,0.22413543886815057,flex_attention,qwen/qwen3-8b
32,512,8,41.443143059441354,0.19970655742533294,flex_attention,qwen/qwen3-8b
32,1024,8,47.372189259622246,0.18866345399230874,flex_attention,qwen/qwen3-8b
32,2048,8,59.21488307096297,0.2702829063948957,flex_attention,qwen/qwen3-8b
64,512,8,63.443047960754484,0.3828752050333921,flex_attention,qwen/qwen3-8b
64,1024,8,69.36311150988331,0.38813254326516866,flex_attention,qwen/qwen3-8b
64,2048,8,81.04316810815362,0.35234343709573324,flex_attention,qwen/qwen3-8b
128,512,8,112.47959614091087,0.8739209510994964,flex_attention,qwen/qwen3-8b
128,1024,8,117.8478638708475,0.7946441643702691,flex_attention,qwen/qwen3-8b
128,2048,8,128.28186102968175,0.8459732557221185,flex_attention,qwen/qwen3-8b
16,512,16,46.82905384164769,0.17334347245225182,flex_attention,qwen/qwen3-8b
